,评论,分类
124,上嘴效果：这个比较适合黄皮哦 满满气质,颜色分类:M122绛仙绣（红棕焦糖）
125,第一次买花西子的产品，印象分不错，包装也很精致，口红上面的雕刻花纹也是相当的好看，总体来说很喜欢！,颜色分类:M122绛仙绣（红棕焦糖）
126,这是17岁第一次买口红 素颜涂也很🉑！！我太喜欢这个包装啦！雕花也很细致 ！！还送了正品！！素颜涂也很好看呐！ 🌸🌸🌸🌸🌼🌻🍁🍂🍃🌱🌿🍀🌴🌳🌲🌵以后会回购花西子哒~   入画客服服务超级好呢！,颜色分类:M122绛仙绣（红棕焦糖）
127,此用户没有填写评论!,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
128,整体评价：雕花比较小，很精致，但是我只数出了11个门派&hellip;  实物颜色：没试颜色，准备收藏，但感觉膏体颜色比我想象中更日常一点。图片开了对比色不是实体的颜色_(：з」&ang;)_,颜色分类:【剑网3比翼相思联名】 M122 相思绣
129,保湿效果：滋润不干 上嘴效果：显色度高 唇膏质地：半哑干 实物颜色：对黄皮友好,颜色分类:M406檀心绣（豆沙色）
130,口红很好，送给妹**生日礼物，色号和她很搭配，她说了很喜欢，喜欢的姐妹们快点入手吧，这么好的宝贝要快点买回家，让你颜值爆表啊,颜色分类:M119湘妃绣（胡萝卜色）
131,太棒了！滋润，上色好看！最用心的包装质量，还有冰袋！满满的都是细节！,颜色分类:M116彤心绣（烂番茄色）
132,送朋友的礼物，色号名恰好有朋友名字，颜色也比较适合她。一直都很喜欢花西子的国风风格，从快递盒子到口红的包装和一些零零碎碎的东西，真的超赞！,颜色分类:M116彤心绣（烂番茄色）
133,口红收到了，本来以为就是个小盒子，没想到盒子挺大的，里面还贴心的放上了冰袋，雕花的口红很好看，上嘴的颜色也很不错，很好涂开，没有那种油油的感觉，很喜欢,颜色分类:M116彤心绣（烂番茄色）
134,包装好而且特别好看也特别滋润赞👍,颜色分类:M116彤心绣（烂番茄色）
135,整体评价：价格实惠，做工很精致，好活当赏 保湿效果：很润 唇膏质地：没吃过 上嘴效果：颜色很正很好看 实物颜色：与图片差距不大很棒棒,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
136,盒子开口也很有设计感，整体颜色日常也ok啦，比较滋润。冲着定制限量买的，呀哈,颜色分类:【剑网3比翼相思联名】 M122 相思绣
137,包装非常的精美，符合东方形象。但是现在口红我还没有使用并不知道口红是否好用，但她包装里面会冰袋。没有使用原因是因为我目前还不太方便使用口红。口红的照片我会后期跟上,颜色分类:M116彤心绣（烂番茄色）
138,因为剑网三，看到就立马下单了，上面的花纹hin精致哦[好喜欢]（虽然找了半天也没看到丐帮[允悲]）颜色还挺百搭的，薄涂厚涂都🉑,颜色分类:【剑网3比翼相思联名】 M122 相思绣
139,很好的一次网购体验，感觉高大上，希望她会喜欢。,颜色分类:M117红鸾绣（正红色）
140,大爱啊，口红都用冰袋发过来的，还送了两片卸妆巾，爱了爱了，细节决定成败，真心喜欢，口红雕花也好好看,颜色分类:M117红鸾绣（正红色）
141,整体评价：非常好 保湿效果：保湿 上嘴效果：巨好看显白 实物颜色：非常非常好看,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
142,包装真的好高大上呀哈哈，拿在手上太有手感了，看着很精致，唯一的小缺点就是感觉太少了，不过也很不容易呀，雕的真好看,颜色分类:M119湘妃绣（胡萝卜色）
143,颜色超正，超级美，我就涂了防晒霜直接上唇，感觉算不上润但是绝对不干，很清爽干爽，真的建议购买,颜色分类:M117红鸾绣（正红色）
144,整体评价：冲着剑三联名来哒，门派雕花绝了！颜色也不错很秋冬，就是膏体有点软，容易掉色，姐妹们用的时候要小心啊,颜色分类:【剑网3比翼相思联名】 M122 相思绣
145,保湿效果：非常好 唇膏质地：好 上嘴效果：好看，而且比较滋润,颜色分类:M408子期绣（红柚豆沙）
146,口红很漂亮哦。很喜欢这个颜色哦，上色快，滋润而且不容易掉色。支持国货哦。黛蓝棒棒哒！,颜色分类:M122绛仙绣（红棕焦糖）
147,雕花很清晰，颜色很显白！太漂亮舍不得用😂忍痛上嘴试试，挺滋润的一时半会儿没感觉到拔干～,颜色分类:【剑网3比翼相思联名】 M122 相思绣
148,包装设计都挺好看的，我手机有色差，感觉十分经济实惠的一款，情怀剑三，打算收藏起来舍不得用，反正天天口罩不离身也没用得到的机会😂,颜色分类:【剑网3比翼相思联名】 M122 相思绣
149,此用户没有填写评论!,颜色分类:M122绛仙绣（红棕焦糖）
150,保湿效果：保湿效果好 唇膏质地：唇膏质地十分细腻，雕花十分好看 实物颜色：上嘴十分好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
151,整体评价：无论从包装上还是从质地上，花西子真的是棒棒哒，口红上的图案真的超惊艳，太好看了，超喜欢,颜色分类:M406檀心绣（豆沙色）
152,拿来送女朋友的，口红好看又好用，女朋友很喜欢,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
153,马上开学要进行封闭管理，又买了好多东西，从一支雕花口红入的坑，如今无法自拔，期待更多好的产品，花西子加油！(雨纤真不错哦～),颜色分类:M122绛仙绣（红棕焦糖）
154,快递箱都比别家好看，环保结实。口红也非常美丽。可惜眼神不太好，没找全所有门派。,颜色分类:【剑网3比翼相思联名】 M122 相思绣
155,滴～炮姐卡 原相机（可以看清我的痘痘啊），大概角度不同。感觉挺有气场的哈，买的时候也不涂颜色，图联名，哈哈。,颜色分类:【剑网3比翼相思联名】 M122 相思绣
156,整体评价：很好看，包装很用心，里面有冰袋 上嘴效果：可以很好的覆盖唇色，现得人很有气色,颜色分类:M116彤心绣（烂番茄色）
157,此用户没有填写评论!,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
158,整体评价：快递让我非常的不爽，不过口红雕花挺漂亮的侄女儿也很喜欢，颜色好看， 保湿效果：不干 唇膏质地：涂上半哑光不干 上嘴效果：挺好看的显白 实物颜色：实物颜色也很漂亮，不挑肤色挺显白的,颜色分类:M119湘妃绣（胡萝卜色）
159,精美的雕花，口红颜色很正，非常滋润，还送了冰袋，是正品,颜色分类:M115御宫绣（复古红）
160,包装爱了，口红浮雕贼好看，安利姐妹一起买了，哈哈哈哈哈哈，不管玩不玩游戏的都可以买，嘿嘿,颜色分类:【剑网3比翼相思联名】 M122 相思绣
161,整体评价：好看！深得我心啊 上嘴效果：厚涂了润薄涂有点干 实物颜色：颜色饱和度非常高好看闭眼入绝对不会出错,颜色分类:M117红鸾绣（正红色）
162,太好看了！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
163,真的真的好好看啊！！这个包装我也太喜欢了！拆包装的感觉好高级！送朋友的生日礼物，忍不住自己也买了一个！太好看了！！！,颜色分类:M602西子绣（半哑偏润草莓色）
164,保湿效果：特别滋润 唇膏质地：不错 整体评价：包装非常用心 真的爱了 阿西吧 上嘴效果：颜色是我需要的 实物颜色：与图片腹黑,颜色分类:M123伯牙绣（宝石樱红）
165,保湿效果：nice 唇膏质地：nice， 上嘴效果：真的绝了，407真的超适合平时素颜的妹子涂。很提气色!无限回购!!!,颜色分类:M407玉棠绣（微糖豆沙）
166,是我喜欢的颜色，好看，就是收到货的时候里面的冰袋破了，全部化水，还好口红单独包装，没有问题,颜色分类:M407玉棠绣（微糖豆沙）
167,冲着剑网3买的，雕花极其精致，但是膏体歪了，转出来转回去的时候会蹭到口红内壁，买来打算收藏的，蹭到内壁说实话  有点心疼,颜色分类:【剑网3比翼相思联名】 M122 相思绣
168,之前买了他家的散粉、还不错。这次闺蜜过生日、看着这雕花挺美的、就选了一只，闺蜜也说挺好看的。至于滋润的话、就不知道了。可惜的是买了两只、分开下单就没送礼品。,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
169,真是太好看了，打开包装第一眼就真的是被惊艳到了，这包装这颜值简直不要太好看。膏体雕花也特别精致都不舍得用了，没有开美颜，膏体颜色是很接近实物的，119很 好看不挑肤色的，唇膏非常润滑很好涂抹的，非常和我心意的，喜欢,颜色分类:M119湘妃绣（胡萝卜色）
170,绝啦！！！！超级赞了！！！！包装太走心了，既有颜值又很精巧！！！！用了觉得很不错，口红质量好，颜色也很棒，主要显白！！物流也很快！！我是第一次在花西子买口红，之所以选他家，一开始只是觉得名字好听！！！但口红质量颜值啥的都很配这个名字鸭！！,颜色分类:M408子期绣（红柚豆沙）
171,本想买正红色的但不小心买成了经典正红色，没想到误打误撞喜欢上了这个颜色😂，服务态度很好推荐购买。,颜色分类:M121凤鸾绣（经典正红色）
172,整体评价：浮雕很细致，找了半天终于把门派标志找齐了! 上嘴效果：颜色还不错，显白,颜色分类:【剑网3比翼相思联名】 M122 相思绣
173,唇膏质地：很润滑膏体也比较湿，很适合嘴唇比较容易干的人抹 实物颜色：颜色很正很好看,颜色分类:【剑网3比翼相思联名】 M122 相思绣
174,包装精美，是所有商品包装最美的。漂亮的颜色。最值得表扬的最佳试色装置，弥补网购的不足，使商品增值不少。好、好、好,颜色分类:M115御宫绣（复古红）
175,这是送给老婆的生日礼物，这个口红颜色好看，涂上也很好看，表面还有雕花设计，喜欢的集美可以入手一支,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
176,整体评价：颜色很好看， 保湿效果：不干 唇膏质地：很润 实物颜色：很漂亮,颜色分类:M116彤心绣（烂番茄色）
177,雕花很漂亮，颜色也很好看，值得入手 😍,颜色分类:M407玉棠绣（微糖豆沙）
178,还挺润的！看着还行吧！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
179,包装完好，拿出来时像冰块一样凉。花纹清晰，东方韵味十足,颜色分类:M408子期绣（红柚豆沙）
180,很喜欢花西子的口红，对我来说这款比翼双飞雕花口红就是我的幸运口红我随身携带它，每次用它，拿着他，我都相信我和男朋友李志铎会尽量结婚的，谢谢花西子。,颜色分类:【剑网3比翼相思联名】 M122 相思绣
181,第一次买花西子，因为剑三联动来的&hellip;&hellip; 口红感觉还不错，雕花很精美，包装严谨&hellip;&hellip;  就是我好像没找到本体门派的标志（狗头）,颜色分类:【剑网3比翼相思联名】 M122 相思绣
182,口红包装很精致就是喜欢的那个style。颜色非常的正￼超级喜欢喜欢的小美女可以入手了哈哈 ￼￼￼￼￼￼😀😀,颜色分类:M116彤心绣（烂番茄色）
183,保湿效果：真的很好 上嘴很舒服 上嘴效果：舒服 唇膏质地：蛮润的 就像是涂润唇膏 实物颜色：豆沙色  整体评价：还行 但是我觉得我这个颜色不是很好看 我准备买几只别的颜色看看应该会很好,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
184,颜色我很喜欢，滋润度也不错，不太掉色，我觉得100买个这样的口红挺好的！我很满意！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
185,口红收到了，首先包装惊艳到了我，第一次看到如此包装细致的口红，然后颜色也是我想要的，满意！,颜色分类:M407玉棠绣（微糖豆沙）
